链接,名称,摘要
https://baike.baidu.com/item/%E5%A4%B8%E7%BE%8E%E7%BA%BD%E6%96%AF,扬·阿姆斯·夸美纽斯,扬·阿姆斯·夸美纽斯Comenius，Johann Amos（捷克文:Jan Amos Komenský）（德文：Johann Amos Comenius）（波兰文：Jan Amos Komeński）（匈牙利文：Comenius Ámos János）（拉丁文：Iohannes Amos Comenius），生于1592年，死于1670年，是一位以捷克语为母语的摩拉维亚族人，捷克伟大的民主主义教育家，西方近代教育理论的奠基者，出身于一磨坊主家庭。他是公共教育最早的拥护者，其理念在他所著作的《大教学论》中提出。
https://baike.baidu.com/item/%E6%96%AF%E7%BE%8E%E5%A1%94%E9%82%A3,贝德里赫·斯美塔那,贝德里赫·斯美塔那(Bedrich Smetana)(1824-1884)，捷克作曲家，钢琴家和指挥家，捷克古典音乐的奠基人。捷克民族歌剧的开路先锋，捷克民族乐派的创始人。1874年不幸耳聋，继续坚持创作，其中最著名的有由六部独立交响诗组成的交响诗套曲《我的祖国》和第一弦乐四重奏《我的生活》。被誉为“捷克民族音乐的奠基人”、“新音乐之父”、“捷克的格林卡”。
https://baike.baidu.com/item/%E5%8C%97%E5%A8%81%E5%B0%94%E6%96%AF,北威尔斯,Caenarfon是北威尔斯第一大城，查理斯王子于一九六九年便是在这堡垒 授职成为威尔斯王子。英国王室拥有一套规举，原来大英皇帝最年长的儿子才有资格成为威尔斯王子的。Conwy的面积虽比不上 Caenarfon，但值得参观的地方比 Caenarfon多。除可参观全威尔斯最老大屋及全英国最小房屋外，走上城堡漫步及远眺 ConwyCastle令你像回到中世纪时代。
https://baike.baidu.com/item/%E6%89%B9%E5%A4%84%E7%90%86,批处理,批处理(Batch)，也称为批处理脚本。顾名思义，批处理就是对某对象进行批量的处理，通常被认为是一种简化的脚本语言，它应用于DOS和Windows系统中。批处理文件的扩展名为bat 。目前比较常见的批处理包含两类：DOS批处理和PS批处理。PS批处理是基于强大的图片编辑软件Photoshop的，用来批量处理图片的脚本；而DOS批处理则是基于DOS命令的，用来自动地批量地执行DOS命令以实现特定操作的脚本。更复杂的情况，需要使用if、for、goto等命令控制程式的运行过程，如同C、Basic等高级语言一样。如果需要实现更复杂的应用，利用外部程式是必要的，这包括系统本身提供的外部命令和第三方提供的工具或者软件。批处理程序虽然是在命令行环境中运行，但不仅仅能使用命令行软件，任何当前系统下可运行的程序都可以放在批处理文件中运行。
https://baike.baidu.com/item/%E6%AD%8C%E7%89%B9%E5%BC%8F/7288324,歌特式,释义
https://baike.baidu.com/item/%E7%AC%AC%E4%B8%80%E6%AC%A1%E4%B8%96%E7%95%8C%E5%A4%A7%E6%88%98/68516,第一次世界大战,"第一次世界大战（英语：World War I、First World War或Great War，简称WWI或WW1），简称一战，是在19世纪末20世纪初，资本主义国家向其终极阶段，即帝国主义过渡时产生的广泛的不可调和矛盾、亚洲，非洲，拉丁美洲殖民地和半殖民地基本上被列强瓜分完毕，新旧殖民主义矛盾激化、各帝国主义经济发展不平衡，秩序划分不对等的背景下，为重新瓜分世界和争夺全球霸权而爆发的一场世界级帝国主义战争。
[1] 
"
https://baike.baidu.com/item/%E9%9B%B7%E6%81%A9,雷恩,雷恩是动漫《中华小当家》中的人物 ，雷恩（レオン ） 港版：利安 CV：神奈延年/野田顺子（幼少期）、陈进益(中国台湾) / 香港TVB; 郭志权。
https://baike.baidu.com/item/%E6%9C%80%E4%B8%8D%E5%8F%91%E8%BE%BE%E5%9B%BD%E5%AE%B6,最不发达国家,最不发达国家（英语：Least developed country，缩写：LDC、LDCs）又称“未开发国家”，是指那些社会、经济发展水平以及联合国所颁布的人类发展指数最低的一系列国家。
https://baike.baidu.com/item/%E8%81%94%E5%90%88%E5%9B%BD%E6%95%99%E7%A7%91%E6%96%87%E7%BB%84%E7%BB%87/265071,联合国教育、科学及文化组织,"联合国教育、科学及文化组织（简称：联合国教科文组织，英文：United Nations Educational, Scientific and Cultural Organization，缩写UNESCO）于1946年11月4日正式成立，是联合国（UN）下属的专门机构之一。"
https://baike.baidu.com/item/%E7%A7%91%E6%8A%80%E4%BF%A1%E6%81%AF,科技信息,"《科技信息》
[1] 
杂志是经国家新闻出版署批准、山东省科技厅主管、山东省技术开发服务中心主办的国内公开发行的旬刊杂志。国际标准刊号：ISSN1001-9960，国内统一刊号：CN37-1021/N，邮发代号：24-72，是省级刊物、山东省优秀期刊。"
https://baike.baidu.com/item/%E7%82%96%E7%89%9B%E8%82%89,炖牛肉,炖牛肉是一道以牛肋板肉作为主要食材，以酱油；食盐；葱段；甜面酱；蒜；姜；花椒；大料；丁香、桂皮、豆蔻、砂仁、肉桂、白芷等作为辅料制作而成的简单的家常菜。
https://baike.baidu.com/item/%E4%B8%87%E7%BB%B4%E7%BD%91,www,"WWW是环球信息网的缩写，（亦作“Web”、“WWW”、“'W3'”，英文全称为“World Wide Web”），中文名字为“万维网”，""环球网""等，常简称为Web。 分为Web客户端和Web服务器程序。 WWW可以让Web客户端（常用浏览器）访问浏览Web服务器上的页面。 是一个由许多互相链接的超文本组成的系统，通过互联网访问。在这个系统中，每个有用的事物，称为一样“资源”；并且由一个全局“统一资源标识符”（URI）标识；这些资源通过超文本传输协议（Hypertext Transfer Protocol）传送给用户，而后者通过点击链接来获得资源。"
https://baike.baidu.com/item/%E6%8D%B7%E5%85%8B%E6%96%AF%E6%B4%9B%E4%BC%90%E5%85%8B/1760516,捷克斯洛伐克,"捷克斯洛伐克（英语：Czechoslovakia；捷克语、斯洛伐克语：Československo）是1918年10月28日至1992年12月31日存在的共和国。5～6世纪，斯拉夫人西迁到今天的捷克和斯洛伐克地区，公元830年在该地区建立了大摩拉维亚帝国。9世纪末、10世纪上半叶在今捷克地区成立了捷克公国。1419～1437年，捷克地区爆发了反对罗马教廷、德意志贵族和封建统治的胡斯运动。1620年，捷克（波西米亚）被哈布斯堡王朝吞并。第一次世界大战后奥匈帝国瓦解，捷克与斯洛伐克联合，于1918年10月28日成立捷克斯洛伐克共和国。1938年9月，英、法、德、意四国代表在慕尼黑签署了《慕尼黑协定》，将捷克斯洛伐克的苏台德地区割让给德国。1939年3月捷被纳粹德国占领。1945年5月9日，捷在苏军帮助下获得解放。1948年2月，捷克斯洛伐克共产党开始执政
[1] 
。先后更名捷克斯洛伐克社会主义共和国（1960年）和捷克斯洛伐克联邦共和国（1989年），第二次世界大战前是世界第七大工业国，仅次于美国、苏联、德国（德奥合并后）、英国、法国、意大利，高于日本、西班牙。"
https://baike.baidu.com/item/%E4%B8%AD%E6%B3%A2%E5%B8%8C%E7%B1%B3%E4%BA%9A%E5%B7%9E,中波希米亚州,"中波希米亚州（捷克语：Středočesk&yacute; kraj）是捷克波希米亚地区中部的一个州。面积11,014平方公里，人口1,1588,108（2006年）。首府布拉格，但并不在州的管辖范围。下分十二区。"
https://baike.baidu.com/item/%E9%9D%9E%E6%AD%A3%E4%B9%89,非正义,？《非正义》是由 小林义则导演，由 筱原凉子主演的电视剧。故事讲述了雪平夏见是搜查一课的女刑警，性格果断又冷酷无情，却又是警队里破案率第一的优秀警察。18岁那年她的刑警父亲死于枪杀，自此夏见发誓不会再让杀人案件在自己面前重演。于是每当犯人有杀人企图的时候她总是毫不犹豫地开枪。她的暴力风格被社会所批判，也导致了家庭的解体，丈夫佐藤和夫和女儿美央都因无法了解她的做法而离开了她的故事。
https://baike.baidu.com/item/%E7%BD%91%E7%BB%9C%E5%A6%88%E5%A6%88,网络妈妈,"《网络妈妈》是由江西电影制片厂、广东大和影业有限公司、广东牵手影视传媒有限公司联合出品，周勇执导，张剑虹、潘伊笑、马妞、张明婕、汪琦、王鹤宇主演的剧情片
[1] 
。"
https://baike.baidu.com/item/%E5%85%8B%E6%8B%89%E6%8B%89,李成敏,李成敏（CLARA LEE、克拉拉）， 出生于瑞士，英国籍亚裔女演员。
https://baike.baidu.com/item/%E5%9C%9F%E8%80%B3%E5%85%B6/198448,土耳其,土耳其共和国（土耳其语：Türkiye Cumhuriyeti，英语：The Republic of Turkey），简称土耳其，是一个横跨欧亚两洲的国家，北临黑海，南临地中海，东南与叙利亚、伊拉克接壤，西临爱琴海，与希腊以及保加利亚接壤，东部与格鲁吉亚、亚美尼亚、阿塞拜疆和伊朗接壤。土耳其地理位置和地缘政治战略意义极为重要，是连接欧亚的十字路口。
https://baike.baidu.com/item/%E8%9C%98%E8%9B%9B/8135707,网络爬虫,网络爬虫（又被称为网页蜘蛛，网络机器人，在FOAF社区中间，更经常的称为网页追逐者），是一种按照一定的规则，自动地抓取万维网信息的程序或者脚本。另外一些不常使用的名字还有蚂蚁、自动索引、模拟程序或者蠕虫。
https://baike.baidu.com/item/%E5%BC%A0%E8%B5%AB/5824,张赫,张赫（Jang Hyuk），本名“郑镛浚”，1976年12月20日出生于韩国釜山广域市。韩国男演员，毕业于韩国首尔檀国大学。
https://baike.baidu.com/item/%E6%9C%BA%E5%BA%8A,机床,机床（英文名称：machine tool）是指制造机器的机器，亦称工作母机或工具机，习惯上简称机床。一般分为金属切削机床、锻压机床和木工机床等。现代机械制造中加工机械零件的方法很多：除切削加工外，还有铸造、锻造、焊接、冲压、挤压等，但凡属精度要求较高和表面粗糙度要求较细的零件，一般都需在机床上用切削的方法进行最终加工。机床在国民经济现代化的建设中起着重大作用。
https://baike.baidu.com/item/%E5%A5%A5%E5%8C%88%E5%B8%9D%E5%9B%BD/730396,奥匈帝国,奥匈帝国（德语：Österreich-Ungarn；匈牙利语：Osztrák–Magyar Monarchia），又名双元帝国（Duale Monarchy）、二元帝国，正式名称为：帝国议会所代表的王国和皇室领地以及匈牙利圣史蒂芬王冠领地（德语：Die im Reichsrat vertretenen Königreiche und Länder und die Länder der heiligen ungarischen Stephanskrone；匈牙利语：Birodalmi tanácsban képviselt királyságok és országok és a magyar Szent Korona országai），13世纪后成为哈布斯堡帝国（Habsburg Empire）的重要组成部分。
https://baike.baidu.com/item/%E8%81%94%E5%90%88%E5%9B%BD%E5%A4%A7%E4%BC%9A/372109,联合国大会,"联合国大会（英语：General Assembly of the United Nations
[1] 
；阿拉伯语：الجمعية العامة للأمم المتحدة‎‎；法语：Assemblée générale des Nations Unies；西班牙语：Asamblea General de las Naciones Unidas；俄语：Генеральная Ассамблея Организация Объединенных Наций
[2] 
）简称“联大”，成立于1945年10月24日，是联合国的主要审查、审议和监督机构。"
https://baike.baidu.com/item/%E9%87%8C%E6%B3%BD%E7%9C%81,里泽省,"里泽省 （土耳其文：Rize）是土耳其东北部黑海沿岸的一个省。面积3,792平方公里，2007年人口361,353人。首府里泽。1924年建省。下分十二县。"
https://baike.baidu.com/item/%E4%B8%89%E7%9A%87%E4%BC%9A%E6%88%98,奥斯特里茨战役,奥斯特里茨战役（英语：The Battle of Austerlitz，德语：Schlacht bei Austerlitz，1805年12月2日），又作奥斯特利茨战役，发生在第三次反法同盟战争期间。因参战方为法兰西帝国皇帝拿破仑·波拿巴，俄罗斯帝国沙皇亚历山大一世，神圣罗马帝国皇帝弗朗茨二世，所以又称“三皇之战”，是世界战争中的一场著名战役。
https://baike.baidu.com/item/%E6%99%AE%E6%B3%95%E5%B0%94%E8%8C%A8,普法尔茨选侯国,普法尔茨（德语：Pfalz）是德国历史上一种特殊领地的名字。这种领地的领主称为普法尔茨伯爵，这个头衔的意思是“王权伯爵”（或译为“行宫伯爵”）。
https://baike.baidu.com/item/%E6%8B%89%E8%84%B1%E7%BB%B4%E4%BA%9A,拉脱维亚,"拉脱维亚共和国（拉脱维亚语：Latvijas Republika），简称拉脱维亚。国名源自民族语，意为“铠甲”、“金属制的服装”，是一个位于欧洲东北部的议会共和制国家。西邻波罗的海，与在其北方的爱沙尼亚及在其南方的立陶宛共同称为波罗的海三国。东与俄罗斯、白俄罗斯二国相邻，全国总面积64589平方公里。
[1-2] 
"
https://baike.baidu.com/item/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE,本草纲目,《本草纲目》，本草著作，52卷。明代李时珍(东璧)撰于嘉靖三十一年(1552年)至万历六年(1578年)，稿凡三易。此书采用“目随纲举”编写体例，故以“纲目”名书。以《证类本草》为蓝本加以变革。序例(卷1、2)相当于总论，述本草要籍与药性理论。卷1“历代诸家本草”，介绍明以前主要本草41种。次辑录明代以前有关药物气味阴阳、五味宜忌、标本阴阳、升降浮沉、补泻、引经报使、各种用药禁忌等论述，其中又以金元诸家之论居多。卷3～4为“百病主治药”，沿用《证类本草》“诸病通用药”旧例，以病原为纲罗列主治药名及主要功效，相当于一部临证用药手册。卷5～52为各论，收药1892种，附图1109种。其总例为“不分三品，惟逐各部；物以类从，目随纲举。”其中以部为“纲”，以类为“目”，计分16部(水、火、土、金石、草、谷、菜、果、木、服器、虫、鳞、介、禽、兽、人)60类。各部按“从微至巨”、“从贱至贵”，既便检索，又体现出生物进化发展思想。部之下为60类，各类中常将许多同科属生物排列在一起。各药“标名为纲，列事为目”，即一药名下列8个项目(即“事”)。其中“释名”列举别名，解释命名意义；“集解”，介绍药物出产、形态、采收等；“辨疑”(或“正误”)，类集诸家之说，辨析纠正药物疑误；“修治”，述炮炙方法；“气味”、“主治”、“发明”，阐述药性理论，提示用药要点，其下每多作者个人见解；“附方”，以病为题，附列相关方剂。
https://baike.baidu.com/item/2007%E5%B9%B4,2007年,2007年，公历平年，共365天，53周。农历丁亥年（猪年），无闰月，共354天。21世纪第1个10年，中华人民共和国成立58周年。
https://baike.baidu.com/item/%E5%8C%88%E7%89%99%E5%88%A9%E8%8B%8F%E7%BB%B4%E5%9F%83%E5%85%B1%E5%92%8C%E5%9B%BD,匈牙利苏维埃共和国,匈牙利苏维埃共和国，是一个匈牙利的共产政权成立于1919年3月21日至8月6日，由库恩·贝拉领导。这是自俄罗斯十月革命后首个在欧洲成立的共产政权．政权历时共4个月，后因罗马尼亚王国攻占布达佩斯而解散。
https://baike.baidu.com/item/%E4%BB%A3%E7%90%86%E6%9C%8D%E5%8A%A1%E5%99%A8,代理服务器,代理服务器（Proxy Server）是一种重要的服务器安全功能，它的工作主要在开放系统互联(OSI)模型的会话层，从而起到防火墙的作用。代理服务器大多被用来连接INTERNET（国际互联网）和Local Area Network（局域网）。
https://baike.baidu.com/item/%E7%89%B9%E5%86%85%E9%87%8C%E8%B4%B9%E8%B6%B3%E7%90%83%E4%BF%B1%E4%B9%90%E9%83%A8,特内里费足球俱乐部,"特内里费足球俱乐部（Club Deportivo Tenerife, SAD）是一家西班牙足球俱乐部，球队位于加那利群岛上的城市圣克鲁斯-德特内里费，曾经在2009/10赛季参加西班牙足球甲级联赛
[1] 
。"
https://baike.baidu.com/item/%E4%B8%93%E7%94%A8%E7%BD%91%E7%BB%9C,专用网络,在互联网的地址架构中，专用网络是指遵守RFC 1918和RFC 4193规范，使用私有IP地址空间的网络。私有IP无法直接连接互联网，需要公网IP转发。与公网IP相比，私有IP是免费的，也节省了IP地址资源，适合在局域网使用。私有IP地址在internet中不会被分配。
https://baike.baidu.com/item/%E5%B8%83%E6%8B%89%E8%BF%AA%E6%96%AF%E6%8B%89%E5%8F%91,布拉迪斯拉发,布拉迪斯拉发（斯洛伐克语：Bratislava），是斯洛伐克共和国的首都和经济、文化中心，西斯洛伐克州的首府，也是斯洛伐克最大的城市。人口约46万。
https://baike.baidu.com/item/robots.txt,robots协议,Robots协议（也称为爬虫协议、机器人协议等）的全称是“网络爬虫排除标准”（Robots Exclusion Protocol），网站通过Robots协议告诉搜索引擎哪些页面可以抓取，哪些页面不能抓取。
https://baike.baidu.com/item/%E9%9F%A9%E6%97%A5%E4%B8%96%E7%95%8C%E6%9D%AF,2002年韩日世界杯,2002年韩日世界杯（英语：2002 FIFA World Cup，韩语：2002 FIFA 월드컵，日语：2002年FIFAワールドカップ）是第17届世界杯足球赛，比赛于2002年5月31日至6月30日在韩国境内10座城市中的10座球场和日本境内10座城市中的10座球场举行。本届是首次在亚洲举行的世界杯，也是首次由两个国家共同举办的世界杯。
https://baike.baidu.com/item/%E5%8D%97%E6%91%A9%E6%8B%89%E7%BB%B4%E4%BA%9A%E5%B7%9E/4162196,南摩拉维亚州,"捷克摩拉维亚地区西南部的一个州。面积7,062 平方公里。人口113万（2006年）。首府布尔诺，下分七区。"
https://baike.baidu.com/item/%E5%AE%89%E5%8D%A1%E6%8B%89%E7%9C%81,安卡拉省,"安卡拉省（Ankara Province）是位于土耳其中部的一个省，面积25,706Km2，人口4,007,860人（2000年）。"
https://baike.baidu.com/item/%E5%9F%83%E6%96%AF%E5%9F%BA%E8%B0%A2%E5%B8%8C%E5%B0%94,埃斯基谢希尔,土耳其西北部城市，埃斯基谢希尔省省会。人口35.2万（1984）。位于波尔苏克河畔。交通中心，有民用与军用机场，伊斯坦布尔-阿达纳铁路与经过安卡拉的东西向铁路在此交会。是土耳其的大工业中心之一，有甜菜糖、面粉、纺织、水泥、砖、化学药剂、机车车辆、农业机械与飞机装配厂。海泡石制品闻名于世。
https://baike.baidu.com/item/%E5%BC%A0%E4%B8%9C%E5%81%A5,张东健,张东健（Jang Dong Gun），1972年3月7日出生于韩国首尔龙山区，韩国男演员。
https://baike.baidu.com/item/%E9%87%91%E8%A3%85%E5%BE%8B%E5%B8%88/22138546,金装律师,《SUITS》是韩国翻拍自高人气美剧《金装律师》，由金振宇执导，金正民编剧，张东健、朴炯植等主演的电视剧，于2018年4月25日在韩国KBS电视台首播。
https://baike.baidu.com/item/%E7%BD%91%E7%BB%9C%E7%AE%A1%E7%90%86%E5%91%98,网络管理员,网络管理员行业对网络管理员的要求基本就是大而全，不需要精通，但什么都得懂一些。所以，总结下来，一个合格的网络管理员最好在网络操作系统、网络数据库、网络设备、网络管理、网络安全、应用开发等六个方面具备扎实的理论知识和应用技能，才能在工作中做到得心应手，游刃有余。国家职业资格考试资格证对网管员的定义是从事计算机网络运行、维护的人员应用能力认定。
https://baike.baidu.com/item/%E7%83%AD%E9%82%A3%E4%BA%9A/84809,热那亚,热那亚（意大利语：Genova，英语：Genoa），意大利最大商港和重要工业中心，利古里亚大区和同名省热那亚省的首府。位于意大利西北部，利古里亚海热那亚湾北岸。热那亚历史悠久，曾是海洋霸主热那亚共和国的首都，2004年热那亚被选为当年的“欧洲文化首都”。热那亚还是著名航海家克里斯托弗·哥伦布和小提琴大师尼科罗·帕格尼尼的家乡。热那亚及其所在的利古里亚海岸沿岸为著名旅游胜地。
https://baike.baidu.com/item/%E8%BF%9E%E5%AD%97%E7%AC%A6,连字符,连字符（hyphen），是用于一个合成词的两部分之间的或一个单词的字节之间的一种标点符号，尤其是一行或一段结束时用。连字符只指“中划线”，不包括上划线和下划线。
https://baike.baidu.com/item/%E5%8E%84%E5%BE%B7%E5%B0%94,厄德尔,"厄德尔，土耳其东部城市，为厄德尔省首府。总面积1,479 km (571 sq mi)，总人口76,950 (2009)。"
https://baike.baidu.com/item/%E6%A0%BC%E9%B2%81%E5%90%89%E4%BA%9A,格鲁吉亚,格鲁吉亚（格鲁吉亚语：საქართველო，英语：Georgia）位于高加索地区的黑海沿岸，北邻俄罗斯，南部与土耳其、亚美尼亚、阿塞拜疆接壤。
https://baike.baidu.com/item/%E8%B6%85%E6%96%87%E6%9C%AC%E4%BC%A0%E9%80%81%E5%8D%8F%E8%AE%AE,http,"超文本传输协议（HTTP，HyperText Transfer Protocol)是互联网上应用最为广泛的一种网络协议。所有的WWW文件都必须遵守这个标准。设计HTTP最初的目的是为了提供一种发布和接收HTML页面的方法。1960年美国人Ted Nelson构思了一种通过计算机处理文本信息的方法，并称之为超文本（hypertext）,这成为了HTTP超文本传输协议标准架构的发展根基。Ted Nelson组织协调万维网协会（World Wide Web Consortium）和互联网工程工作小组（Internet Engineering Task Force ）共同合作研究，最终发布了一系列的RFC，其中著名的RFC 2616定义了HTTP 1.1。"
https://baike.baidu.com/item/%E8%89%BE%E4%BC%AF%E7%89%B9%C2%B7%E6%88%88%E5%B0%94,艾伯特·戈尔,艾伯特·戈尔（Albert Arnold Gore Jr.，一般称为阿尔·戈尔），1948年3月31日出生于华盛顿。美国政治家，曾于1993－2001年担任副总统。戈尔任副总统前，曾出任过美国国会众议员（1977年至1985年）及美国国会田纳西州参议员（1985年至1993年）。他的父亲艾伯特·阿诺德·戈尔亦曾任三届国会参议员。其后成为一名国际上著名的环境学家，由于在全球气候变化与环境问题上的贡献受到国际的肯定，因而获得了2007年度诺贝尔和平奖。2010年6月戈尔与妻子蒂珀·戈尔分居，这对美国政坛模范夫妻40年的爱情曾被戈尔称为是小说《爱情故事》的原型。他曾经提出著名的“信息高速公路”和“数字地球”概念，引发了一场技术革命。
https://baike.baidu.com/item/%E5%8D%A1%E5%B8%95%E5%A4%9A%E8%A5%BF%E4%BA%9A%E7%9F%B3%E7%AA%9F,卡帕多西亚石窟,卡帕多西亚石窟在土耳其的心脏地带，有一个神奇的地方，这里有世界上独一无二的如月球般荒凉诡异的地貌。连绵数英里的洞穴、地道以及数百座完整的地下城市令到此一游的客人流连忘返，仿佛置身于一个地球以外的世界。
https://baike.baidu.com/item/%E9%A3%9E%E7%81%AB%E6%B5%81%E6%98%9F,飞火流星,飞火流星是2002韩日世界杯指定比赛用球，英文是Fevernova，阿迪达斯自推出1978阿根廷世界杯指定比赛用球TangoTM后第一次采用突破常规的设计。
https://baike.baidu.com/item/%E6%99%AE%E6%9E%97%E6%96%AF%E9%A1%BF,普林斯顿大学,"普林斯顿大学（Princeton University），是世界著名私立研究型大学，位于美国新泽西州的普林斯顿市，是八所常春藤盟校
[1] 
之一。"
https://baike.baidu.com/item/%E6%8E%A8%E7%90%86,推理,推理，逻辑学指思维的基本形式之一，是由一个或几个已知的判断（前提）推出新判断（结论）的过程，有直接推理、间接推理等。（《现代汉语词典第6版》第1323页）
https://baike.baidu.com/item/%E8%8E%B1%E8%92%99%E5%BE%B7%E6%96%AF%C2%B7%E9%9F%A6%E7%BA%A6%E5%B0%BC%E6%96%AF,莱蒙德斯·韦约尼斯,"莱蒙德斯·韦约尼斯（Raimonds Vējonis），1966年6月生于俄罗斯西北部的普斯科夫，1995年获拉脱维亚大学生物学硕士学位，懂英语、俄语。
[1] 
"
https://baike.baidu.com/item/%E6%8D%B7%E5%85%8B%E6%96%AF%E6%B4%9B%E4%BC%90%E5%85%8B%E8%81%94%E9%82%A6%E5%85%B1%E5%92%8C%E5%9B%BD,捷克斯洛伐克联邦共和国,捷克斯洛伐克在1990年4月到1992年12月31日期间的正式国名。1993年1月1日，捷克斯洛伐克联邦共和国解体为捷克共和国和斯洛伐克共和国两个国家。
https://baike.baidu.com/item/%E5%A4%A7%E6%B8%85%E7%9C%9F%E5%AF%BA,大清真寺,禁寺又名麦加大清真寺是世界著名的清真大寺，伊斯兰教第一大圣寺，始建于公元630年，世界各国穆斯林向往的地方和去麦加朝觐礼拜的圣地。
https://baike.baidu.com/item/%E5%8A%A0%E5%B8%83%E9%87%8C%E5%9F%83%E5%B0%94%C2%B7%E5%B7%B4%E8%92%82%E6%96%AF%E5%9B%BE%E5%A1%94,加布里埃尔·巴蒂斯图塔,"加布里埃尔·巴蒂斯图塔（Gabriel Omar Batistuta），1969年2月1日出生于阿根廷阿韦亚内达，
[1] 
阿根廷第一前锋。"
https://baike.baidu.com/item/%E6%88%91%E6%80%95%E6%81%8B%E7%88%B1/8126269,我怕恋爱,《我怕恋爱》是由李振石执导的爱情类电视剧，张东健、金美淑等参加演出。该剧讲述了郑仁河和韩莹智的恋爱故事。
